word,count
mamar,434
mimar,428
gemer,428
adubo,424
tenor,421
sesta,418
tosco,416
aceno,416
zinco,415
hasta,411
vulgo,411
alias,411
apego,409
calha,408
pecar,405
funil,404
bento,403
morsa,398
lasca,397
lousa,395
recuo,393
rosca,392
geada,389
vagem,387
floco,386
raiar,386
ramal,385
minar,383
atear,382
frade,381
curvo,377
cegar,377
reles,376
censo,376
sagaz,375
pompa,373
bebes,372
frete,370
manso,370
cisto,370
lacre,369
telha,368
crepe,367
coque,366
fauna,365
lince,365
cedro,364
adido,363
lepra,362
anais,360
cromo,357
piche,354
dique,352
voraz,350
pinga,350
titio,348
forja,344
baque,344
fusco,343
brabo,341
ardor,341
prosa,341
brejo,338
hertz,337
coche,337
serie,332
rimar,331
album,329
polpa,329
espia,329
salmo,327
visco,326
parir,324
clave,324
corso,323
oasis,322
basco,318
birra,317
calvo,317
rugir,317
vetar,316
alibi,314
ginga,313
atroz,312
axila,311
zelar,310
nicho,310
tecer,308
vesgo,308
cuspo,306
ninfa,304
mouro,304
coito,299
uivar,298
quepe,296
juiza,294
carpa,290
indio,290
obito,290
solda,289
miolo,289
fugaz,289
selim,288
cerne,288
pasmo,287
amido,287
corar,285
lhama,283
gonzo,282
dorso,279
grife,278
grude,277
caspa,272
cacho,271
sarna,271
cabal,268
pires,268
juizo,268
quite,268
urubu,266
alado,263
tebas,262
caido,261
afiar,260
mogno,259
celta,255
germe,254
leigo,253
ralar,251
inato,250
refil,250
etnia,250
varal,250
cunha,246
bardo,245
palmo,245
obeso,244
sadio,242
molar,241
magno,241
furor,240
zonzo,238
sigla,237
septo,233
sidra,231
saude,230
penis,229
audaz,228
praxe,228
jarda,227
irmao,227
ardil,227
celso,227
garbo,226
zanga,226
fiado,219
farpa,217
grifo,215
plebe,215
linux,215
dogma,212
mirim,212
reger,211
lotar,211
viela,211
tenis,210
berro,208
xisto,208
corja,206
abalo,206
gelar,206
modem,206
trema,206
caule,205
coala,204
feudo,202
ranho,200
alamo,200
guapo,199
tacar,199
crina,198
bucha,196
babel,196
mirra,195
ameba,194
tenaz,193
podar,193
quina,192
beata,190
dolar,190
bocal,189
polca,188
tunel,187
genio,187
vogal,181
vicio,179
apuro,179
tarja,179
choco,179
chope,178
bruma,178
incha,177
chiar,173
marra,173
boiar,173
fecal,172
tonel,171
soldo,171
chulo,170
toldo,170
focal,169
rouco,168
canon,167
sedar,166
arara,165
turba,165
bolor,165
opala,165
sacro,164
junco,164
vulva,164
sulco,163
bonus,163
vivaz,162
dedal,162
haras,160
polia,159
mamae,158
dende,157
cupim,157
telex,156
clava,156
bossa,155
venta,153
ameno,151
rubor,151
chale,150
rombo,149
borra,145
caqui,144
turfa,143
paiol,142
naipe,142
mitra,142
pajem,140
melro,140
rente,139
sable,139
razao,139
pelve,137
facho,137
cache,137
vulto,135
chula,135
lauda,135
galgo,134
pinha,134
torpe,132
casto,132
zoada,131
sinha,130
colon,129
tarso,128
